Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
23/04/2021,9.770000458,9.770000458,9.819999695,9.729999542,9.819999695,150200,0.000599385,5.102941623257739e-07
30/04/2021,9.710000038,9.710000038,9.748000145,9.680000305,9.729999542,157600,0.000628916,5.909039300529039e-07
07/05/2021,9.680000305,9.680000305,9.729999542,9.659999847,9.729999542,94100,0.000375514,1.1097749631994655e-07
14/05/2021,9.659999847,9.659999847,9.720000267,9.609999657,9.670000076,176400,0.000703939,1.9605774549485006e-07
21/05/2021,9.649999619,9.649999619,9.720000267,9.609999657,9.699999809,110800,0.000442157,1.9221683061721575e-07
28/05/2021,9.680000305,9.680000305,9.729999542,9.619999886,9.649999619,518700,0.002069915,3.102619556764882e-06
04/06/2021,9.81000042,9.81000042,9.892000198,9.659999847,9.710000038,3197200,0.012758689,0.00015322793538535855
11/06/2021,9.829999924,9.829999924,9.859999657,9.789999962,9.819999695,5439400,0.021706373,0.0004251210891089894
18/06/2021,9.840000153,9.840000153,9.859999657,9.81000042,9.850000381,1861400,0.00742807,4.2500534070394825e-05
25/06/2021,9.850000381,9.850000381,9.869999886,9.81499958,9.859999657,436400,0.00174149,2.0163621091105136e-06
02/07/2021,9.829999924,9.829999924,9.869999886,9.819999695,9.859999657,811100,0.003236761,1.1063487619754788e-05
09/07/2021,9.819999695,9.819999695,9.850000381,9.819999695,9.819999695,598000,0.002386368,8.210324892383353e-06
16/07/2021,9.850000381,9.850000381,9.850000381,9.819999695,9.819999695,237800,0.00094896,1.3440807367995345e-06
23/07/2021,9.829999924,9.829999924,9.840000153,9.81000042,9.819999695,794400,0.003170119,1.967962469699219e-05
30/07/2021,9.779999733,9.779999733,9.829999924,9.760000229,9.819999695,369700,0.001475318,4.580143919411982e-06
06/08/2021,9.75,9.75,9.789999962,9.729999542,9.770000458,948300,0.003784269,2.9367395345240288e-05
13/08/2021,9.829999924,9.829999924,9.880000114,9.770000458,9.770000458,286700,0.0011441,9.260295656676216e-07
20/08/2021,9.81000042,9.81000042,9.840000153,9.800000191,9.829999924,742600,0.002963406,6.95747596195342e-06
27/08/2021,9.840000153,9.840000153,9.840000153,9.789999962,9.800000191,363500,0.001450577,2.110716085058756e-06
03/09/2021,9.840000153,9.840000153,9.880000114,9.819999695,9.829999924,189900,0.000757812,5.123399301065774e-07
10/09/2021,9.850000381,9.850000381,9.869999886,9.819999695,9.829999924,1126300,0.004494593,2.1297535073285924e-05
17/09/2021,9.850000381,9.850000381,9.899999619,9.819999695,9.819999695,620600,0.002476555,3.0444360142540493e-06
24/09/2021,9.869999886,9.869999886,9.909999847,9.829999924,9.890000343,623600,0.002488527,4.529254799751683e-06
01/10/2021,9.859999657,9.859999657,9.899999619,9.829999924,9.899999619,339400,0.001354404,1.6170873013444046e-06
08/10/2021,9.859999657,9.859999657,9.869999886,9.829999924,9.859999657,114600,0.000457321,1.5448262235858642e-07
15/10/2021,9.890000343,9.890000343,9.930000305,9.840000153,9.850000381,298800,0.001192386,2.2115886234001304e-06
22/10/2021,9.909999847,9.909999847,9.930000305,9.869000435,9.909999847,2417200,0.009646035,0.00015904858827333303
29/10/2021,9.970000267,9.970000267,9.970000267,9.899999619,9.909999847,1052700,0.004200886,2.3753859722287126e-05
05/11/2021,9.949999809,9.949999809,10.0,9.930000305,9.970000267,3031200,0.012096253,0.00020617349341013586
12/11/2021,9.970000267,9.970000267,9.989999771,9.960000038,9.989999771,2328600,0.00929247,5.459701441373885e-05
19/11/2021,9.979999542,9.979999542,10.0,9.970000267,9.979999542,4215100,0.016820703,0.00032856379319432503
26/11/2021,9.970000267,9.970000267,10.01000023,9.960000038,9.989999771,6096400,0.024328185,0.0007725808111886801
03/12/2021,9.75,9.75,10.14999962,9.510000229,9.970000267,5971800,0.023830959,0.0004973251551892782
10/12/2021,7.150000095,7.150000095,10.21000004,7.065000057,9.800000191,1297300,0.005176982,2.6482725948036894e-05
17/12/2021,8.720000267,8.720000267,8.979999542,6.75,7.269999981,2864300,0.011430225,0.00012341416471245916
24/12/2021,6.849999905,6.849999905,8.279999733,6.610000134,8.279999733,795500,0.003174508,1.5674952835253918e-05
31/12/2021,5.659999847,5.659999847,7.190000057,5.519999981,6.800000191,1069700,0.004268726,3.057616158922837e-05
07/01/2022,5.119999886,5.119999886,6.09100008,5.079999924,5.659999847,533500,0.002128976,4.425057430244908e-06
14/01/2022,4.75,4.75,5.260000229,4.449999809,5.010000229,566900,0.002262261,4.682407255184883e-06
21/01/2022,5.260000229,5.260000229,5.440000057,4.671999931,4.800000191,380700,0.001519215,2.368660821242565e-06
28/01/2022,5.050000191,5.050000191,5.849999905,4.960000038,5.139999866,394500,0.001574285,1.6250521226231809e-06
04/02/2022,5.289999962,5.289999962,5.5,4.989999771,5.079999924,243900,0.000973303,8.373678778865711e-07
11/02/2022,4.610000134,4.610000134,5.349999905,4.550000191,5.210000038,327000,0.00130492,1.8669273689732464e-06
18/02/2022,5.099999905,5.099999905,5.34499979,4.53000021,4.53000021,296100,0.001181611,7.319505901210786e-07
25/02/2022,6.059999943,6.059999943,6.440000057,4.900000095,5.0,1308000,0.005219682,1.5908239819950263e-05
04/03/2022,7.75,7.75,8.194000244,5.389999866,6.179999828,2605000,0.010395467,7.950925267703236e-05
11/03/2022,9.460000038,9.460000038,10.5,7.0,7.949999809,4239600,0.016918472,0.000244322714173551
18/03/2022,6.440000057,6.440000057,10.36999989,6.210000038,10.36999989,2644500,0.010553095,9.16257054392017e-05
25/03/2022,7.559999943,7.559999943,7.65500021,5.920000076,6.550000191,1617700,0.006455565,4.8920595134814055e-05
01/04/2022,8.359999657,8.359999657,8.979999542,6.889999866,7.849999905,1648800,0.006579672,4.0230136450512604e-05
08/04/2022,11.57999992,11.57999992,16.12000084,8.369999886,8.720000267,30233600,0.120649667,0.01350807676818208
15/04/2022,12.63000011,12.63000011,13.59000015,10.61999989,11.17000008,3775900,0.015068039,0.0004050063137685498
22/04/2022,8.550000191,8.550000191,12.93000031,8.109999657,12.76000023,2636300,0.010520372,0.00014056452496750046
29/04/2022,10.01000023,10.01000023,10.85000038,8.399999619,9.550000191,1167100,0.004657409,2.2262787026574067e-05
06/05/2022,10.06999969,10.06999969,11.60999966,9.779000282,9.81000042,953900,0.003806616,1.336294223781278e-05
13/05/2022,7.639999866,7.639999866,9.979999542,7.135000229,9.850000381,619900,0.002473762,2.761711524670509e-06
20/05/2022,10.0,10.0,10.30000019,7.150000095,7.539999962,2500200,0.009977254,0.00010748829226493386
27/05/2022,5.380000114,5.380000114,10.52000046,5.079999924,9.979999542,2777500,0.011083842,0.0001347878563012837
03/06/2022,5.369999886,5.369999886,5.739999771,4.96999979,5.369999886,884800,0.003530867,1.2749938769005365e-05
10/06/2022,4.940000057,4.940000057,5.619999886,4.744999886,5.460000038,1223900,0.004884074,2.842845999311358e-05
17/06/2022,4.050000191,4.050000191,4.860000134,3.859999895,4.860000134,1323000,0.00527954,2.884309522580539e-05
24/06/2022,3.769999981,3.769999981,4.058000088,3.670000076,4.0,832000,0.003320164,1.014234224602072e-05
