Date,Share Price,NAV,Discount
10/31/2024 ,$19.98 ,$21.91 ,-8.81%
10/30/2024 ,$20.07 ,$22.40 ,-10.40%
10/29/2024 ,$20.20 ,$22.36 ,-9.66%
10/28/2024 ,$20.05 ,$22.27 ,-9.97%
10/25/2024 ,$19.96 ,$22.23 ,-10.21%
10/24/2024 ,$19.67 ,$22.01 ,-10.63%
10/23/2024 ,$19.49 ,$21.87 ,-10.88%
10/22/2024 ,$19.81 ,$22.12 ,-10.44%
10/21/2024 ,$19.61 ,$22.08 ,-11.19%
10/18/2024 ,$19.50 ,$22.08 ,-11.68%
10/17/2024 ,$19.49 ,$22.02 ,-11.49%
10/16/2024 ,$19.35 ,$21.83 ,-11.36%
10/15/2024 ,$19.32 ,$21.83 ,-11.50%
10/14/2024 ,$19.60 ,$22.42 ,-12.58%
10/11/2024,$19.36 ,$22.29 ,-13.14%
10/10/2024,$19.25 ,$22.06 ,-12.74%
10/09/2024,$19.20 ,$21.93 ,-12.45%
10/08/2024,$18.92 ,$21.49 ,-12.93%
10/07/2024,$19.17 ,$21.49 ,-10.80%
10/04/2024,$19.25 ,$21.56 ,-10.71%
10/03/2024,$18.94 ,$21.32 ,-11.16%
10/02/2024,$19.31 ,$21.31 ,-9.39%
10/01/2024,$19.52 ,$21.24 ,-8.10%
9/30/2024 ,$19.20 ,$21.53 ,-10.82%
9/27/2024 ,$19.30 ,$21.56 ,-10.48%
9/26/2024 ,$19.21 ,$21.68 ,-11.39%
9/25/2024 ,$19.04 ,$21.31 ,-10.65%
9/24/2024 ,$19.04 ,$21.21 ,-10.23%
9/23/2024 ,$18.93 ,$21.03 ,-9.99%
9/20/2024 ,$18.76 ,$20.97 ,-10.54%
9/19/2024 ,$18.97 ,$21.04 ,-9.84%
9/18/2024 ,$18.69 ,$20.66 ,-9.54%
9/17/2024 ,$18.73 ,$20.77 ,-9.82%
9/16/2024 ,$18.57 ,$20.74 ,-10.46%
9/13/2024 ,$18.91 ,$20.99 ,-9.91%
