Date,Share Price,NAV,Discount
10/31/2024 ,$25.15 ,$28.01 ,-10.21%
10/30/2024 ,$25.57 ,$28.59 ,-10.56%
10/29/2024 ,$25.58 ,$28.69 ,-10.84%
10/28/2024 ,$25.44 ,$28.54 ,-10.86%
10/25/2024 ,$25.45 ,$28.49 ,-10.67%
10/24/2024 ,$25.29 ,$28.34 ,-10.76%
10/23/2024 ,$25.14 ,$28.17 ,-10.76%
10/22/2024 ,$25.39 ,$28.49 ,-10.88%
10/21/2024 ,$25.30 ,$28.45 ,-11.07%
10/18/2024 ,$25.33 ,$28.44 ,-10.94%
10/17/2024 ,$25.18 ,$28.34 ,-11.15%
10/16/2024 ,$25.23 ,$28.33 ,-10.94%
10/15/2024 ,$25.20 ,$28.29 ,-10.92%
10/14/2024 ,$25.39 ,$28.42 ,-10.66%
10/11/2024,$25.24 ,$28.27 ,-10.72%
10/10/2024,$25.23 ,$28.20 ,-10.53%
10/09/2024,$25.32 ,$28.26 ,-10.40%
10/08/2024,$25.18 ,$28.15 ,-10.55%
10/07/2024,$24.76 ,$27.86 ,-11.13%
10/04/2024,$25.03 ,$28.12 ,-10.99%
10/03/2024,$24.97 ,$27.85 ,-10.34%
10/02/2024,$25.17 ,$27.85 ,-9.62%
10/01/2024,$25.00 ,$27.84 ,-10.20%
9/30/2024 ,$25.12 ,$28.16 ,-10.80%
9/27/2024 ,$24.80 ,$28.06 ,-11.62%
9/26/2024 ,$25.01 ,$28.10 ,-11.00%
9/25/2024 ,$24.94 ,$27.95 ,-10.77%
9/24/2024 ,$24.95 ,$27.97 ,-10.80%
9/23/2024 ,$24.92 ,$27.87 ,-10.58%
9/20/2024 ,$24.94 ,$27.81 ,-10.32%
9/19/2024 ,$25.03 ,$27.85 ,-10.13%
9/18/2024 ,$24.75 ,$27.33 ,-9.44%
9/17/2024 ,$24.66 ,$27.33 ,-9.77%
9/16/2024 ,$24.47 ,$27.28 ,-10.30%
9/13/2024 ,$24.59 ,$27.32 ,-9.99%
09/12/2024,$24.96 ,$27.55 ,-9.40%
09/11/2024,$24.71 ,$27.32 ,-9.55%
