Date,Share Price,NAV,Discount (%)
2021-04-23,$38.65 ,$41.09 ,-0.04572
2021-04-30,$38.55 ,$40.44 ,-0.06346
2021-05-07,$36.24 ,$38.74 ,-0.056440000000000004
2021-05-14,$34.82 ,$36.76 ,-0.06295999999999999
2021-05-21,$35.80 ,$37.79 ,-0.05538
2021-05-28,$37.03 ,$39.33 ,-0.055475
2021-06-04,$37.72 ,$39.33 ,-0.0405
2021-06-11,$39.22 ,$40.38 ,-0.03612
2021-06-18,$40.01 ,$41.33 ,-0.02994
2021-06-25,$40.93 ,$42.75 ,-0.045579999999999996
2021-07-02,$41.94 ,$43.04 ,-0.030760000000000003
2021-07-09,$40.98 ,$42.81 ,-0.028975
2021-07-16,$39.27 ,$41.42 ,-0.035160000000000004
2021-07-23,$40.37 ,$42.64 ,-0.05606
2021-07-30,$40.15 ,$42.25 ,-0.05236
2021-08-06,$41.27 ,$42.76 ,-0.04178
2021-08-13,$40.51 ,$41.96 ,-0.03526
2021-08-20,$39.64 ,$41.25 ,-0.037219999999999996
2021-08-27,$40.60 ,$43.48 ,-0.05176000000000001
2021-09-03,$42.48 ,$44.54 ,-0.05488
2021-09-10,$41.38 ,$43.71 ,-0.053425
2021-09-17,$40.81 ,$43.57 ,-0.05724
2021-09-24,$40.49 ,$43.78 ,-0.07158
2021-10-01,$39.17 ,$42.16 ,-0.0779
2021-10-08,$39.60 ,$41.64 ,-0.05911999999999999
2021-10-15,$40.92 ,$43.23 ,-0.055940000000000004
2021-10-22,$40.21 ,$43.64 ,-0.05728
2021-10-29,$41.09 ,$43.69 ,-0.072675
2021-11-05,$43.02 ,$44.54 ,-0.042100000000000005
2021-11-12,$43.12 ,$44.47 ,-0.02948
2021-11-19,$42.13 ,$43.59 ,-0.029800000000000004
2021-11-26,$39.67 ,$41.65 ,-0.0406
2021-12-03,$37.21 ,$39.74 ,-0.0444
2021-12-10,$37.70 ,$40.12 ,-0.0618
2021-12-17,$36.34 ,$37.70 ,-0.05796
2021-12-24,$38.09 ,$39.00 ,-0.029275
2021-12-31,$38.94 ,$38.82 ,-0.01616
2022-01-07,$34.24 ,$35.68 ,-0.01874
2022-01-14,$32.97 ,$34.37 ,-0.03518
2022-01-21,$28.49 ,$31.88 ,-0.07785
2022-01-28,$30.38 ,$31.22 ,-0.07236000000000001
2022-02-04,$31.23 ,$32.42 ,-0.02694
2022-02-11,$29.98 ,$32.38 ,-0.04104
2022-02-18,$27.69 ,$31.09 ,-0.1133
2022-02-25,$27.94 ,$31.83 ,-0.11127500000000001
2022-03-04,$27.09 ,$30.09 ,-0.09842
2022-03-11,$25.86 ,$28.79 ,-0.10558000000000001
2022-03-18,$28.18 ,$31.26 ,-0.10604
2022-03-25,$28.84 ,$31.81 ,-0.09252
2022-04-01,$29.86 ,$32.10 ,-0.08506
2022-04-08,$28.30 ,$30.67 ,-0.07474
2022-04-15,$27.40 ,$30.00 ,-0.08445
2022-04-22,$25.60 ,$28.37 ,-0.0942
2022-04-29,$24.02 ,$27.86 ,-0.12136
2022-05-06,$23.82 ,$26.75 ,-0.11876
2022-05-13,$21.42 ,$25.45 ,-0.14404
2022-05-20,$20.93 ,$25.11 ,-0.1637
2022-05-27,$22.67 ,$25.68 ,-0.14987999999999999
2022-06-03,$23.08 ,$25.99 ,-0.10836666666666665
2022-06-10,$21.51 ,$25.07 ,-0.11381999999999999
2022-06-17,$19.87 ,$23.21 ,-0.1512
2022-06-24,$21.36 ,$24.80 ,-0.143725
2022-07-01,$19.90 ,$22.85 ,-0.13846
2022-07-08,$21.62 ,$23.78 ,-0.09855
2022-07-15,$20.05 ,$22.55 ,-0.10200000000000001
2022-07-22,$20.41 ,$23.69 ,-0.11486
2022-07-29,$21.23 ,$23.80 ,-0.12587500000000001
2022-08-05,$22.29 ,$24.76 ,-0.11137999999999999
2022-08-12,$22.99 ,$25.00 ,-0.09566
2022-08-19,$21.60 ,$24.27 ,-0.10269999999999999
2022-08-26,$20.47 ,$23.85 ,-0.13712
2022-09-02,$20.29 ,$22.78 ,-0.12674000000000002
2022-09-09,$20.93 ,$23.62 ,-0.10980000000000001
2022-09-16,$19.63 ,$22.63 ,-0.12296
2022-09-23,$18.21 ,$21.19 ,-0.13228
2022-09-30,$17.64 ,$21.10 ,-0.16033999999999998
2022-10-07,$17.59 ,$21.39 ,-0.16972
2022-10-14,$16.80 ,$19.95 ,-0.15030000000000002
2022-10-21,$17.01 ,$20.77 ,-0.17394
2022-10-28,$17.43 ,$20.98 ,-0.1823
2022-11-04,$16.79 ,$20.18 ,-0.17282000000000003
