Date,Share Price,NAV,Discount (%)
2021-04-23,$58.30 ,$54.63 ,0.08180000000000001
2021-04-30,$58.90 ,$53.99 ,0.07394
2021-05-07,$56.80 ,$52.18 ,0.08684
2021-05-14,$55.63 ,$50.09 ,0.09276
2021-05-21,$55.31 ,$51.05 ,0.0921
2021-05-28,$57.17 ,$52.37 ,0.09267500000000001
2021-06-04,$58.40 ,$51.78 ,0.112925
2021-06-11,$59.40 ,$53.65 ,0.11374
2021-06-18,$56.55 ,$54.22 ,0.08724
2021-06-25,$58.31 ,$55.46 ,0.03436
2021-07-02,$58.79 ,$55.90 ,0.057699999999999994
2021-07-09,$53.71 ,$56.14 ,-0.01235
2021-07-16,$52.23 ,$54.58 ,-0.03426
2021-07-23,$54.26 ,$55.93 ,-0.03222
2021-07-30,$53.70 ,$55.62 ,-0.03292
2021-08-06,$54.39 ,$56.09 ,-0.03382
2021-08-13,$54.03 ,$55.45 ,-0.02014
2021-08-20,$53.20 ,$54.94 ,-0.028739999999999998
2021-08-27,$54.16 ,$56.70 ,-0.0368
2021-09-03,$55.30 ,$57.65 ,-0.03716
2021-09-10,$54.45 ,$56.67 ,-0.038025
2021-09-17,$53.82 ,$56.58 ,-0.04474
2021-09-24,$54.04 ,$56.89 ,-0.052379999999999996
2021-10-01,$52.51 ,$54.87 ,-0.046900000000000004
2021-10-08,$52.22 ,$54.67 ,-0.04472
2021-10-15,$53.35 ,$56.07 ,-0.047659999999999994
2021-10-22,$53.77 ,$56.60 ,-0.04886
2021-10-29,$54.50 ,$57.09 ,-0.047174999999999995
2021-11-05,$55.55 ,$58.19 ,-0.04692
2021-11-12,$55.23 ,$58.27 ,-0.04992
2021-11-19,$54.35 ,$57.91 ,-0.055380000000000006
2021-11-26,$51.85 ,$55.49 ,-0.059225
2021-12-03,$49.48 ,$53.48 ,-0.06324
2021-12-10,$51.01 ,$54.62 ,-0.06854
2021-12-17,$48.11 ,$51.02 ,-0.0635
2021-12-24,$49.30 ,$52.59 ,-0.06795000000000001
2021-12-31,$49.97 ,$52.40 ,-0.05772000000000001
2022-01-07,$48.45 ,$49.21 ,-0.0231
2022-01-14,$47.66 ,$48.25 ,-0.0076
2022-01-21,$42.36 ,$45.07 ,-0.040775
2022-01-28,$43.51 ,$45.08 ,-0.05322
2022-02-04,$45.20 ,$46.05 ,-0.01296
2022-02-11,$44.32 ,$45.71 ,-0.01806
2022-02-18,$42.12 ,$44.01 ,-0.04307999999999999
2022-02-25,$42.99 ,$44.88 ,-0.044225
2022-03-04,$42.03 ,$42.78 ,-0.028560000000000002
2022-03-11,$40.94 ,$41.21 ,-0.01184
2022-03-18,$43.61 ,$44.27 ,-0.01174
