Date,Share Price,NAV,Discount
10/31/2024 ,$35.66 ,$37.57 ,-5.08%
10/30/2024 ,$36.40 ,$38.62 ,-5.75%
10/29/2024 ,$36.43 ,$38.83 ,-6.18%
10/28/2024 ,$36.27 ,$38.40 ,-5.55%
10/25/2024 ,$36.36 ,$38.40 ,-5.31%
10/24/2024 ,$36.41 ,$38.11 ,-4.46%
10/23/2024 ,$36.34 ,$37.95 ,-4.24%
10/22/2024 ,$36.90 ,$38.45 ,-4.03%
10/21/2024 ,$36.87 ,$38.27 ,-3.66%
10/18/2024 ,$36.81 ,$38.27 ,-3.81%
10/17/2024 ,$36.73 ,$38.17 ,-3.77%
10/16/2024 ,$36.72 ,$38.00 ,-3.37%
10/15/2024 ,$36.77 ,$38.78 ,-5.18%
10/14/2024 ,$37.33 ,$38.78 ,-3.74%
10/11/2024,$36.81 ,$38.51 ,-4.41%
10/10/2024,$36.86 ,$38.39 ,-3.99%
10/09/2024,$36.53 ,$38.33 ,-4.70%
10/08/2024,$36.25 ,$37.54 ,-4.73%
10/07/2024,$35.77 ,$37.54 ,-4.71%
10/04/2024,$35.65 ,$37.74 ,-5.54%
10/03/2024,$35.13 ,$37.41 ,-6.09%
10/02/2024,$35.09 ,$37.30 ,-5.92%
10/01/2024,$34.86 ,$37.17 ,-6.21%
9/30/2024 ,$35.44 ,$37.76 ,-6.14%
9/27/2024 ,$35.01 ,$37.90 ,-7.63%
9/26/2024 ,$35.00 ,$38.18 ,-8.33%
9/25/2024 ,$34.53 ,$37.80 ,-8.65%
9/24/2024 ,$34.79 ,$37.69 ,-7.69%
9/23/2024 ,$34.89 ,$37.45 ,-6.84%
9/20/2024 ,$34.78 ,$37.38 ,-6.96%
9/19/2024 ,$34.96 ,$37.49 ,-6.75%
9/18/2024 ,$34.33 ,$36.62 ,-6.25%
9/17/2024 ,$34.21 ,$36.79 ,-7.01%
9/16/2024 ,$34.44 ,$36.81 ,-6.44%
9/13/2024 ,$34.63 ,$37.24 ,-7.01%
09/12/2024,$34.33 ,$37.05 ,-7.34%
09/11/2024,$34.13 ,$36.73 ,-7.08%
09/10/2024,$33.56 ,$35.83 ,-6.34%
09/09/2024,$33.34 ,$35.49 ,-6.06%
09/06/2024,$33.55 ,$35.06 ,-4.31%
