Date,Share Price,NAV,Discount
10/31/2024 ,$32.73 ,$32.45 ,0.86%
10/30/2024 ,$33.08 ,$33.22 ,-0.42%
10/29/2024 ,$33.13 ,$33.33 ,-0.60%
10/28/2024 ,$32.87 ,$32.90 ,-0.09%
10/25/2024 ,$32.89 ,$32.82 ,0.21%
10/24/2024 ,$32.81 ,$32.65 ,0.49%
10/23/2024 ,$32.92 ,$32.58 ,1.04%
10/22/2024 ,$33.30 ,$32.95 ,1.06%
10/21/2024 ,$33.26 ,$33.02 ,0.73%
10/18/2024 ,$33.44 ,$33.08 ,1.09%
10/17/2024 ,$33.44 ,$33.06 ,1.15%
10/16/2024 ,$33.33 ,$33.07 ,0.79%
10/15/2024 ,$33.29 ,$32.99 ,0.91%
10/14/2024 ,$34.04 ,$33.54 ,1.49%
10/11/2024,$33.65 ,$33.19 ,1.39%
10/10/2024,$33.55 ,$32.93 ,1.88%
10/09/2024,$33.40 ,$33.00 ,1.21%
10/08/2024,$33.22 ,$32.77 ,1.37%
10/07/2024,$32.93 ,$32.42 ,1.57%
10/04/2024,$33.24 ,$32.69 ,1.68%
10/03/2024,$32.72 ,$32.32 ,1.24%
10/02/2024,$33.06 ,$32.32 ,2.29%
10/01/2024,$32.84 ,$32.13 ,2.21%
9/30/2024 ,$33.49 ,$32.63 ,2.64%
9/27/2024 ,$33.14 ,$32.55 ,1.81%
9/26/2024 ,$33.20 ,$32.70 ,1.53%
9/25/2024 ,$32.97 ,$32.23 ,2.30%
9/24/2024 ,$32.96 ,$32.33 ,1.95%
9/23/2024 ,$32.98 ,$32.27 ,2.20%
9/20/2024 ,$32.95 ,$32.21 ,2.30%
9/19/2024 ,$33.03 ,$32.31 ,2.23%
9/18/2024 ,$32.39 ,$31.52 ,2.76%
9/17/2024 ,$32.39 ,$31.70 ,2.18%
9/16/2024 ,$32.17 ,$31.58 ,1.87%
9/13/2024 ,$32.10 ,$31.63 ,1.49%
09/12/2024,$31.77 ,$31.28 ,1.57%
09/11/2024,$31.63 ,$31.08 ,1.77%
09/10/2024,$31.22 ,$30.37 ,2.80%
09/09/2024,$30.95 ,$30.08 ,2.89%
09/06/2024,$30.94 ,$29.80 ,3.82%
09/05/2024,$31.75 ,$30.71 ,3.39%
09/04/2024,$31.82 ,$30.78 ,3.38%
09/03/2024,$32.03 ,$30.87 ,3.76%
