Date,Share Price,NAV,Discount
10/31/2024 ,$22.33 ,$22.11 ,1.00%
10/30/2024 ,$22.64 ,$22.55 ,0.40%
10/29/2024 ,$22.41 ,$22.66 ,-1.10%
10/28/2024 ,$22.29 ,$22.50 ,-0.93%
10/25/2024 ,$22.14 ,$22.46 ,-1.42%
10/24/2024 ,$21.96 ,$22.41 ,-2.01%
10/23/2024 ,$22.26 ,$22.35 ,-0.40%
10/22/2024 ,$22.56 ,$22.51 ,0.22%
10/18/2024 ,$22.51 ,$22.61 ,-0.44%
10/17/2024 ,$22.36 ,$22.58 ,-0.97%
10/16/2024 ,$22.47 ,$22.57 ,-0.44%
10/15/2024 ,$22.53 ,$22.44 ,0.40%
10/14/2024 ,$22.73 ,$22.77 ,-0.18%
10/11/2024,$22.63 ,$22.67 ,-0.18%
10/10/2024,$22.50 ,$22.60 ,-0.44%
10/09/2024,$22.70 ,$22.60 ,0.44%
10/08/2024,$22.19 ,$22.43 ,-1.07%
10/07/2024,$22.15 ,$22.23 ,-0.36%
10/04/2024,$22.08 ,$22.34 ,-1.16%
10/03/2024,$21.85 ,$22.10 ,-1.13%
10/02/2024,$21.85 ,$22.13 ,-1.27%
10/01/2024,$21.71 ,$22.03 ,-1.45%
9/30/2024 ,$21.97 ,$22.23 ,-1.17%
9/27/2024 ,$21.90 ,$22.22 ,-1.44%
9/26/2024 ,$21.63 ,$22.31 ,-3.05%
9/25/2024 ,$21.73 ,$22.16 ,-1.94%
9/24/2024 ,$21.74 ,$22.19 ,-2.03%
9/23/2024 ,$21.57 ,$22.13 ,-2.53%
9/20/2024 ,$21.57 ,$22.11 ,-2.44%
9/19/2024 ,$21.49 ,$22.12 ,-2.85%
9/18/2024 ,$21.34 ,$21.73 ,-1.79%
9/17/2024 ,$21.08 ,$21.76 ,-3.13%
9/16/2024 ,$20.99 ,$21.74 ,-3.45%
9/13/2024 ,$20.80 ,$21.67 ,-4.01%
09/12/2024,$20.92 ,$21.70 ,-3.59%
09/11/2024,$20.86 ,$21.55 ,-3.20%
09/10/2024,$20.75 ,$21.23 ,-2.26%
09/09/2024,$20.45 ,$21.17 ,-3.40%
09/06/2024,$20.46 ,$20.97 ,-2.43%
09/05/2024,$20.96 ,$21.35 ,-1.83%
09/04/2024,$21.20 ,$21.45 ,-1.17%
09/03/2024,$21.23 ,$21.45 ,-1.03%
8/30/2024 ,$21.66 ,$22.00 ,-1.55%
8/29/2024 ,$21.52 ,$21.84 ,-1.47%
8/28/2024 ,$21.09 ,$21.80 ,-3.26%
8/27/2024 ,$21.02 ,$21.90 ,-4.02%
8/26/2024 ,$21.00 ,$21.80 ,-3.67%
8/23/2024 ,$21.20 ,$21.94 ,-3.37%
8/22/2024 ,$21.04 ,$21.72 ,-3.13%
8/21/2024 ,$21.47 ,$21.89 ,-1.92%
8/20/2024 ,$21.49 ,$21.80 ,-1.42%
8/19/2024 ,$21.38 ,$21.85 ,-2.15%
8/16/2024 ,$21.45 ,$21.70 ,-1.15%
8/15/2024 ,$21.07 ,$21.69 ,-2.86%
8/14/2024 ,$20.85 ,$21.34 ,-2.30%
8/13/2024 ,$20.93 ,$21.24 ,-1.46%
08/12/2024,$20.75 ,$20.92 ,-0.81%
08/09/2024,$20.76 ,$21.05 ,-1.38%
08/08/2024,$20.38 ,$20.94 ,-2.67%
08/07/2024,$20.16 ,$20.42 ,-1.27%
08/06/2024,$20.27 ,$20.61 ,-1.65%
08/05/2024,$19.84 ,$20.35 ,-2.51%
08/02/2024,$20.38 ,$20.75 ,-1.78%
08/01/2024,$21.19 ,$21.17 ,0.09%
7/31/2024 ,$21.29 ,$21.52 ,-1.07%
7/30/2024 ,$20.91 ,$21.07 ,-0.76%
7/29/2024 ,$20.92 ,$21.31 ,-1.83%
7/26/2024 ,$20.64 ,$21.34 ,-3.28%
7/25/2024 ,$20.87 ,$21.17 ,-1.42%
7/24/2024 ,$20.82 ,$21.34 ,-2.44%
7/23/2024 ,$21.30 ,$21.83 ,-2.43%
7/22/2024 ,$21.26 ,$21.85 ,-2.70%
7/19/2024 ,$20.88 ,$21.58 ,-3.24%
7/18/2024 ,$20.74 ,$21.68 ,-4.34%
7/17/2024 ,$21.23 ,$21.89 ,-3.02%
7/16/2024 ,$21.96 ,$22.47 ,-2.27%
7/15/2024 ,$21.80 ,$22.38 ,-2.59%
07/12/2024,$21.64 ,$22.36 ,-3.22%
07/11/2024,$21.60 ,$22.25 ,-2.92%
07/10/2024,$22.08 ,$22.55 ,-2.08%
07/09/2024,$21.97 ,$22.37 ,-1.79%
07/08/2024,$21.80 ,$22.41 ,-2.72%
07/05/2024,$21.88 ,$22.35 ,-2.10%
07/03/2024,$21.72 ,$22.28 ,-2.51%
07/02/2024,$21.60 ,$22.17 ,-2.57%
07/01/2024,$21.56 ,$22.06 ,-2.27%
6/27/2024 ,$21.58 ,$22.02 ,-2.00%
6/26/2024 ,$21.08 ,$21.98 ,-4.09%
6/25/2024 ,$21.08 ,$22.00 ,-4.18%
6/24/2024 ,$20.96 ,$21.84 ,-4.03%
6/21/2024 ,$21.16 ,$21.99 ,-3.77%
6/20/2024 ,$21.26 ,$22.02 ,-3.45%
6/18/2024 ,$20.99 ,$22.16 ,-5.28%
6/17/2024 ,$20.71 ,$22.08 ,-6.20%
6/14/2024 ,$20.58 ,$21.91 ,-6.07%
6/13/2024 ,$20.48 ,$22.09 ,-7.29%
06/12/2024,$20.73 ,$22.03 ,-5.90%
06/11/2024,$20.41 ,$21.75 ,-6.16%
06/10/2024,$20.22 ,$21.76 ,-7.08%
06/07/2024,$20.10 ,$21.62 ,-7.03%
06/06/2024,$20.10 ,$21.70 ,-7.37%
