Date,Share Price,NAV,Discount (%)
2021-04-23,$28.10 ,$28.03 ,0.01064
2021-04-30,$28.26 ,$27.97 ,0.00594
2021-05-07,$28.13 ,$27.84 ,0.016739999999999998
2021-05-14,$27.06 ,$27.27 ,0.005560000000000001
2021-05-21,$27.80 ,$27.26 ,0.01732
2021-05-28,$28.36 ,$27.70 ,0.019575
2021-06-04,$28.93 ,$28.02 ,0.02895
2021-06-11,$29.57 ,$28.35 ,0.03482
2021-06-18,$28.62 ,$27.87 ,0.03376
2021-06-25,$28.92 ,$28.33 ,0.020139999999999998
2021-07-02,$29.52 ,$28.82 ,0.0251
2021-07-09,$29.27 ,$28.94 ,0.0168
2021-07-16,$29.16 ,$28.53 ,0.014660000000000001
2021-07-23,$29.47 ,$29.27 ,0.01302
2021-07-30,$29.51 ,$28.87 ,0.015340000000000001
2021-08-06,$29.44 ,$29.09 ,0.01378
2021-08-13,$29.49 ,$29.22 ,0.01278
2021-08-20,$29.41 ,$29.27 ,0.01048
2021-08-27,$30.00 ,$29.74 ,0.00912
2021-09-03,$30.37 ,$29.99 ,0.00928
2021-09-10,$30.48 ,$29.72 ,0.021175
2021-09-17,$29.47 ,$29.07 ,0.0166
2021-09-24,$28.99 ,$29.14 ,0.0018999999999999996
2021-10-01,$28.53 ,$28.24 ,0.00792
2021-10-08,$28.71 ,$28.33 ,0.0077
2021-10-15,$29.10 ,$28.94 ,0.010620000000000001
2021-10-22,$29.37 ,$29.01 ,0.01106
2021-10-29,$29.93 ,$29.57 ,0.012624999999999999
2021-11-05,$30.50 ,$30.22 ,0.010520000000000002
2021-11-12,$30.43 ,$30.04 ,0.011879999999999998
2021-11-19,$30.46 ,$30.28 ,0.00918
2021-11-26,$29.77 ,$29.36 ,0.010075
2021-12-03,$29.33 ,$29.01 ,0.01178
2021-12-10,$30.22 ,$30.21 ,0.0062
2021-12-17,$29.27 ,$28.89 ,0.013819999999999999
2021-12-24,$29.79 ,$29.58 ,0.003925
2021-12-31,$30.65 ,$29.63 ,0.02064
2022-01-07,$29.16 ,$28.98 ,0.01464
2022-01-14,$28.68 ,$29.15 ,-0.00556
2022-01-21,$25.63 ,$26.97 ,-0.031125
2022-01-28,$26.47 ,$27.20 ,-0.029459999999999997
2022-02-04,$27.11 ,$27.52 ,-0.014180000000000002
2022-02-11,$26.40 ,$26.85 ,-0.01316
