Date,Share Price,NAV,Discount (%)
2021-04-23,$33.38 ,$32.51 ,0.025140000000000003
2021-04-30,$33.75 ,$32.11 ,0.0367
2021-05-07,$34.09 ,$32.01 ,0.054000000000000006
2021-05-14,$31.77 ,$30.58 ,0.039760000000000004
2021-05-21,$33.41 ,$31.07 ,0.061
2021-05-28,$34.57 ,$32.05 ,0.08145
2021-06-04,$34.82 ,$32.67 ,0.07727500000000001
2021-06-11,$35.11 ,$32.97 ,0.07098
2021-06-18,$34.41 ,$32.38 ,0.06736
2021-06-25,$35.44 ,$33.37 ,0.06118
2021-07-02,$35.33 ,$33.69 ,0.05544
2021-07-09,$33.96 ,$33.41 ,0.027475
2021-07-16,$33.16 ,$32.40 ,0.01588
2021-07-23,$34.34 ,$33.55 ,0.012879999999999999
2021-07-30,$33.76 ,$33.55 ,0.00954
2021-08-06,$34.11 ,$33.98 ,0.0050799999999999994
2021-08-13,$33.70 ,$33.05 ,0.01826
2021-08-20,$32.99 ,$32.62 ,0.01456
2021-08-27,$34.29 ,$34.14 ,0.010620000000000001
2021-09-03,$34.37 ,$34.19 ,0.0070999999999999995
2021-09-10,$33.81 ,$33.54 ,0.008450000000000001
2021-09-17,$33.84 ,$33.74 ,0.0030800000000000003
2021-09-24,$33.99 ,$33.99 ,0.00248
2021-10-01,$32.95 ,$32.74 ,0.00515
2021-10-08,$33.08 ,$32.63 ,0.0079
2021-10-15,$34.09 ,$33.35 ,0.025240000000000002
2021-10-22,$34.81 ,$33.79 ,0.02888
2021-10-29,$35.45 ,$34.27 ,0.033325
2021-11-05,$37.62 ,$35.69 ,0.049120000000000004
2021-11-12,$38.65 ,$35.71 ,0.06734
2021-11-19,$38.60 ,$35.46 ,0.08818000000000001
2021-11-26,$37.31 ,$34.43 ,0.084575
2021-12-03,$35.34 ,$34.58 ,0.050780000000000006
2021-12-10,$37.16 ,$34.78 ,0.05665
2021-12-17,$35.33 ,$33.78 ,0.04056
2021-12-24,$36.85 ,$34.99 ,0.049600000000000005
2021-12-31,$37.01 ,$35.42 ,0.04834000000000001
2022-01-07,$36.46 ,$34.10 ,0.055220000000000005
2022-01-14,$35.22 ,$34.54 ,0.04116
2022-01-21,$31.57 ,$31.19 ,0.0259
2022-01-28,$31.73 ,$30.70 ,0.019799999999999998
2022-02-04,$33.18 ,$31.80 ,0.0498
2022-02-11,$33.15 ,$31.19 ,0.0551
2022-02-18,$32.68 ,$30.94 ,0.04328
2022-02-25,$31.72 ,$31.30 ,0.020975
2022-03-04,$30.77 ,$30.53 ,0.0074399999999999996
2022-03-11,$28.99 ,$29.44 ,-0.01728
2022-03-18,$31.87 ,$31.87 ,-0.00728
2022-03-25,$32.25 ,$32.31 ,-0.0017399999999999998
2022-04-01,$31.98 ,$31.78 ,0.00566
2022-04-08,$30.07 ,$30.33 ,-0.006899999999999999
2022-04-15,$29.27 ,$29.59 ,-0.013875
2022-04-22,$28.81 ,$29.03 ,-0.00996
2022-04-29,$28.20 ,$28.51 ,-0.01308
2022-05-06,$28.95 ,$28.43 ,0.0016400000000000004
2022-05-13,$27.23 ,$27.60 ,0.0025199999999999997
2022-05-20,$27.26 ,$26.91 ,0.0018799999999999997
2022-05-27,$29.68 ,$28.70 ,0.024059999999999998
2022-06-03,$29.48 ,$28.41 ,0.036325
2022-06-10,$27.41 ,$26.74 ,0.036199999999999996
2022-06-17,$24.50 ,$24.95 ,-0.005200000000000001
2022-06-24,$26.15 ,$26.13 ,-0.008074999999999999
2022-07-01,$25.09 ,$25.01 ,-0.0048000000000000004
2022-07-08,$26.33 ,$26.06 ,0.0191
2022-07-15,$27.43 ,$26.29 ,0.02682
2022-07-22,$29.01 ,$27.24 ,0.06158
2022-07-29,$29.99 ,$27.95 ,0.064125
2022-08-05,$30.84 ,$28.43 ,0.10404
2022-08-12,$30.71 ,$28.56 ,0.07806
2022-08-19,$29.66 ,$27.64 ,0.07918
2022-08-26,$29.48 ,$26.43 ,0.09866
2022-09-02,$28.28 ,$25.25 ,0.11986
2022-09-09,$28.50 ,$26.19 ,0.10250000000000001
2022-09-16,$26.69 ,$24.62 ,0.07496
2022-09-23,$24.53 ,$23.42 ,0.06798
2022-09-30,$23.19 ,$22.78 ,0.03466
2022-10-07,$23.53 ,$23.27 ,0.00792
2022-10-14,$23.96 ,$22.72 ,0.042300000000000004
2022-10-21,$24.76 ,$23.39 ,0.05700000000000001
2022-10-28,$25.26 ,$24.33 ,0.04562
2022-11-04,$24.35 ,$23.37 ,0.045579999999999996
2022-11-11,$27.69 ,$25.84 ,0.06894
2022-11-18,$26.35 ,$24.93 ,0.055459999999999995
2022-11-25,$27.00 ,$25.22 ,0.06912499999999999
2022-12-02,$26.76 ,$25.46 ,0.05238
2022-12-09,$25.30 ,$23.65 ,0.06917999999999999
2022-12-16,$24.72 ,$23.17 ,0.061919999999999996
2022-12-23,$23.06 ,$22.48 ,0.04062
2022-12-30,$22.92 ,$22.63 ,0.020133333333333333
2023-01-06,$23.35 ,$23.22 ,0.014425
2023-01-13,$25.29 ,$24.30 ,0.027739999999999997
2023-01-20,$25.47 ,$24.50 ,0.0351
2023-01-27,$26.44 ,$25.41 ,0.04138
2023-02-03,$27.39 ,$25.97 ,0.05734
2023-02-10,$26.64 ,$25.30 ,0.05272
2023-02-17,$27.04 ,$25.43 ,0.05608
2023-02-24,$26.65 ,$24.70 ,0.07375
2023-03-03,$27.16 ,$25.35 ,0.07696
2023-03-10,$25.75 ,$24.20 ,0.06292
2023-03-17,$26.03 ,$24.85 ,0.05738000000000001
2023-03-24,$26.52 ,$25.24 ,0.03978
2023-03-31,$27.83 ,$26.03 ,0.06866
2023-04-07,$26.33 ,$25.25 ,0.0547
2023-04-14,$27.08 ,$25.53 ,0.046560000000000004
2023-04-21,$26.96 ,$25.29 ,0.0643
2023-04-28,$26.66 ,$24.88 ,0.06987499999999999
2023-05-05,$26.74 ,$25.09 ,0.07156
2023-05-12,$26.23 ,$24.66 ,0.06826
2023-05-19,$27.72 ,$25.76 ,0.07158
2023-05-26,$29.21 ,$26.82 ,0.08230000000000001
2023-06-02,$29.72 ,$26.85 ,0.09525
2023-06-09,$30.20 ,$26.94 ,0.11266000000000001
2023-06-16,$30.76 ,$27.37 ,0.12833999999999998
2023-06-23,$29.41 ,$26.61 ,0.1145
2023-06-30,$30.66 ,$27.72 ,0.10578000000000001
2023-07-07,$29.87 ,$27.34 ,0.105875
2023-07-14,$30.56 ,$28.24 ,0.07908000000000001
2023-07-21,$30.06 ,$28.13 ,0.07598
2023-07-28,$30.78 ,$28.82 ,0.06766000000000001
2023-08-04,$29.85 ,$27.86 ,0.065675
2023-08-11,$29.29 ,$26.74 ,0.08928
2023-08-18,$28.46 ,$26.35 ,0.08864
2023-08-25,$29.25 ,$26.82 ,0.08948
2023-09-01,$30.39 ,$28.00 ,0.08997999999999999
2023-09-08,$29.57 ,$27.48 ,0.08115
2023-09-15,$28.22 ,$26.94 ,0.05552
2023-09-22,$27.29 ,$26.41 ,0.03712
2023-09-29,$27.22 ,$26.57 ,0.026780000000000005
2023-10-06,$27.26 ,$26.72 ,0.02078
2023-10-13,$27.22 ,$26.69 ,0.01746
2023-10-20,$26.30 ,$25.85 ,0.01738
2023-10-27,$25.18 ,$24.88 ,0.01426
2023-11-03,$28.17 ,$26.10 ,0.0388
2023-11-10,$28.60 ,$26.22 ,0.09412000000000001
2023-11-17,$29.55 ,$26.82 ,0.09172
2023-11-24,$30.88 ,$27.29 ,0.12085
2023-12-01,$31.29 ,$27.68 ,0.12996
2023-12-08,$29.90 ,$27.68 ,0.1075
2023-12-15,$31.26 ,$28.87 ,0.07094
2023-12-22,$31.13 ,$29.12 ,0.06788
2023-12-29,$31.60 ,$29.05 ,0.080175
2024-01-05,$29.37 ,$27.81 ,0.0603
2024-01-12,$30.80 ,$28.63 ,0.0513
2024-01-19,$32.06 ,$29.66 ,0.084725
2024-01-26,$32.91 ,$29.93 ,0.09258000000000001
2024-02-02,$32.81 ,$29.75 ,0.10225999999999999
2024-02-09,$33.85 ,$30.70 ,0.10396000000000001
2024-02-16,$32.61 ,$29.51 ,0.10491999999999999
2024-02-23,$32.25 ,$29.63 ,0.0889
2024-03-01,$33.88 ,$30.62 ,0.10318000000000001
2024-03-08,$32.70 ,$30.50 ,0.08593999999999999
2024-03-15,$31.53 ,$30.06 ,0.04924
2024-03-22,$32.11 ,$31.10 ,0.034100000000000005
2024-03-29,$31.71 ,$31.19 ,0.022366666666666663
2024-04-05,$31.81 ,$31.21 ,0.019840000000000003
2024-04-12,$31.32 ,$30.73 ,0.017779999999999997
2024-04-19,$29.56 ,$28.91 ,0.02222
2024-04-26,$31.17 ,$30.55 ,0.021939999999999998
2024-05-03,$31.05 ,$30.59 ,0.020839999999999997
