Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
23/04/2021,23.40999985,23.40999985,23.54999924,21.43000031,21.64999962,126040600,0.057816789,0.041305628
30/04/2021,23.04000092,23.04000092,24.26000023,22.80999947,23.69000053,144901400,0.066468532,0.057419141
07/05/2021,19.75,19.75,23.07999992,19.40999985,23.01000023,292425300,0.134140046,0.123194852
14/05/2021,20.07999992,20.07999992,20.29999924,17.05500031,19.28000069,603403600,0.276790642,0.263699737
21/05/2021,20.75,20.75,21.62000084,19.62999916,19.72999954,236701300,0.108578578,0.100837005
28/05/2021,22.95000076,22.95000076,24.75,20.67499924,21.05999947,327522400,0.150239633,0.142195315
04/06/2021,24.03000069,24.03000069,24.84000015,22.36000061,23.19000053,229870500,0.105445183,0.09104835
11/06/2021,24.67000008,24.67000008,25.22999954,23.44000053,24,207731800,0.095289817,0.071272808
18/06/2021,25.37000084,25.37000084,25.94000053,23.86000061,24.72999954,287208300,0.131746927,0.116309763
25/06/2021,26.78000069,26.78000069,27.01000023,24.51000023,25.10000038,343590400,0.157610275,0.143677363
02/07/2021,24.44000053,24.44000053,27.5,24.32999992,26.97999954,194439900,0.089192615,0.073083831
09/07/2021,23.29000092,23.29000092,25.20000076,22.25,24.60000038,152806800,0.070094862,0.061624103
16/07/2021,21.37000084,21.37000084,23.49500084,21.01000023,23.26000023,133376300,0.061181789,0.048603376
23/07/2021,21.80999947,21.80999947,22.68000031,20.54999924,20.96999931,108827900,0.049921055,0.042454723
30/07/2021,21.70999908,21.70999908,22.85000038,21.09000015,21.79999924,99528500,0.045655275,0.038157723
06/08/2021,21.81999969,21.81999969,22.77000046,21.47999954,21.90999985,96726300,0.044369862,0.03512128
13/08/2021,24.89999962,24.89999962,25.76000023,21.79999924,21.85000038,337920300,0.155009312,0.147878571
20/08/2021,24.01000023,24.01000023,25.94000053,23.65999985,24.89999962,292989100,0.13439867,0.12449504
27/08/2021,25.70999908,25.70999908,26.09000015,23.89999962,24.02000046,226059100,0.103696835,0.093836567
03/09/2021,26.63999939,26.63999939,26.87000084,25.62000084,25.73999977,236794700,0.108621422,0.091571267
10/09/2021,26.28000069,26.28000069,26.87999916,24.95999908,26.79000092,161728100,0.074187202,0.050477677
17/09/2021,28.70999908,28.70999908,29.29000092,25.03000069,26.14999962,418541400,0.191991468,0.159172286
